"AAS 375  Prisons, Race, and Terror  credit: 3 Hours. "
AAS 390  Intermed Topics Asian Am St  credit: 3 Hours. 
AAS 395  Adv Asian Am Undergrad Reading  credit: 2 or 3 Hours. 
AAS 400  Critical Ethnic Studies  credit: 3 or 4 Hours. 
AAS 402  Asian American Education  credit: 4 Hours. 
AAS 435  Commodifying Difference  credit: 3 or 4 Hours. 
AAS 464  Theories & Theologies of Liberation  credit: 3 or 4 Hours. 
"AAS 465  Race, Sex, and Deviance  credit: 3 or 4 Hours. "
"AAS 479  Race, Medicine, and Society  credit: 3 or 4 Hours. "
AAS 490  Adv Topics in Asian Am Studies  credit: 3 or 4 Hours. 
AAS 494  Writing with Performance: Politics of Love  credit: 3 Hours. 
AAS 495  Minoritarian Aesthetics Practicum  credit: 3 or 4 Hours. 
AAS 496  Experiments in Queer Performance  credit: 3 Hours. 
AAS 501  Theory and Methods in AAS  credit: 4 Hours. 
"AAS 539  Youth, Culture and Society  credit: 4 Hours. "
AAS 561  Race and Cultural Critique  credit: 4 Hours. 
AAS 589  Readings in Asian Am Studies  credit: 1 to 4 Hours. 
AAS 590  Asian Am Studies Seminar  credit: 2 to 4 Hours. 
AAS 594  Writing the Minor - Minoritarian Aesthetics  credit: 4 Hours. 
AAS 596  Experiments in Minoritarian Aesthetics  credit: 4 Hours. 
ABE 100  Intro Agric & Biological Engrg  credit: 1 Hour. 
ABE 127  Introduction to Agricultural & Biological Engineering  credit: 2 Hours. 
ABE 128  Applied Biology for Agricultural and Biological Engineers  credit: 3 Hours. 
ABE 141  ABE Principles: Biological  credit: 2 Hours. 
ABE 152  Water in the Global Environment  credit: 3 Hours. 
ABE 199  Undergraduate Open Seminar  credit: 1 to 5 Hours. 
ABE 223  ABE Principles: Machine Syst  credit: 2 Hours. 
ABE 224  ABE Principles: Soil & Water  credit: 2 Hours. 
ABE 225  ABE Principles: Bioenvironment  credit: 2 Hours. 
ABE 226  ABE Principles: Bioprocessing  credit: 2 Hours. 
ABE 227  Computer-Aided Problem-Solving for ABE I  credit: 3 Hours. 
ABE 228  Computer-Aided Problem-Solving for ABE II  credit: 3 Hours. 
ABE 232  Context in International Interventions  credit: 3 Hours. 
ABE 340  Thermodynamics for Agricultural and Biological Engineering  credit: 3 Hours. 
ABE 341  Transport Processes in ABE  credit: 3 Hours. 
ABE 361  Functional Analysis and Design of Agricultural Machine Systems  credit: 3 Hours. 
ABE 397  Independent Study  credit: 1 to 4 Hours. 
ABE 398  Special Topics  credit: 1 to 3 Hours. 
ABE 425  Engrg Measurement Systems  credit: 4 Hours. 
ABE 426  Principles of Mobile Robotics  credit: 4 Hours. 
ABE 430  Project Management  credit: 2 Hours. 
ABE 436  Renewable Energy Systems  credit: 3 or 4 Hours. 
ABE 440  Applied Statistical Methods I  credit: 4 Hours. 
ABE 445  Statistical Methods  credit: 4 Hours. 
ABE 446  Biological Nanoengineering  credit: 3 or 4 Hours. 
ABE 450  International Water Project I  credit: 3 Hours. 
ABE 451  International Water Project II  credit: 3 Hours. 
ABE 452  Engineering for Disaster Resilience  credit: 3 or 4 Hours. 
ABE 454  Environmental Soil Physics  credit: 3 Hours. 
ABE 455  Erosion and Sediment Control  credit: 2 Hours. 
ABE 456  Land & Water Resources Engrg  credit: 3 or 4 Hours. 
ABE 457  NPS Pollution Processes  credit: 2 Hours. 
ABE 458  NPS Pollution Modeling  credit: 2 Hours. 
ABE 459  Drainage and Water Management  credit: 3 or 4 Hours. 
ABE 466  Engineering Off-Road Vehicles  credit: 3 Hours. 
ABE 469  Capstone Design Experience  credit: 4 Hours. 
ABE 476  Indoor Air Quality Engineering  credit: 4 Hours. 
ABE 482  Package Engineering  credit: 3 Hours. 
ABE 483  Engineering Properties of Food Materials  credit: 3 Hours. 
ABE 488  Bioprocessing Biomass for Fuel  credit: 4 Hours. 
ABE 497  Independent Study  credit: 1 to 4 Hours. 
ABE 498  Special Topics  credit: 1 to 4 Hours. 
ABE 501  Graduate Research I  credit: 1 Hour. 
ABE 526  Autonomous Systems and Robots  credit: 4 Hours. 
ABE 532  Advanced Contextual Design  credit: 4 Hours. 
ABE 594  Graduate Seminar  credit: 0 Hours. 
ABE 597  Independent Study  credit: 1 to 4 Hours. 
ABE 598  Special Topics  credit: 1 to 4 Hours. 
ABE 599  Thesis Research  credit: 0 to 16 Hours. 
ACCY 199  Undergraduate Open Seminar  credit: 1 to 5 Hours. 
ACCY 200  Fundamentals of Accounting  credit: 3 Hours. 
ACCY 201  Accounting and Accountancy I  credit: 3 Hours. 
ACCY 202  Accounting and Accountancy II  credit: 3 Hours. 
ACCY 290  Prof Internship in Accountancy  credit: 0 to 3 Hours. 
ACCY 301  Atg Measurement & Disclosure  credit: 3 Hours. 
ACCY 302  Decision Making for Atg  credit: 3 Hours. 
ACCY 303  Accounting Institutions and Regulation  credit: 3 Hours. 
ACCY 304  Accounting Control Systems  credit: 3 Hours. 
ACCY 312  Principles of Taxation  credit: 3 Hours. 
ACCY 321  Principles of Public Policy  credit: 3 Hours. 
ACCY 375  Career Pathways in Accountancy  credit: 1 Hour. 
ACCY 398  Practical Problems in Atg  credit: 0 to 16 Hours. 
ACCY 405  Assurance and Attestation  credit: 3 Hours. 
ACCY 410  Advanced Financial Reporting  credit: 3 or 4 Hours. 
ACCY 415  Auditing Stds and Practice  credit: 3 Hours. 
ACCY 419  Financial Accounting for Governmental and Nonprofit Entities  credit: 3 or 4 Hours. 
ACCY 449  Tax in Action - VITA  credit: 1 or 2 Hours. 
ACCY 451  Advanced Income Tax Problems  credit: 3 or 4 Hours. 
ACCY 499  Senior Research  credit: 2 to 4 Hours. 
"ACCY 500  Accounting Measurement, Reporting, and Control  credit: 2 or 4 Hours. "
ACCY 501  Accounting Analysis I  credit: 2 or 4 Hours. 
ACCY 502  Accounting Analysis II  credit: 2 or 4 Hours. 
ACCY 503  Managerial Accounting  credit: 2 or 4 Hours. 
ACCY 504  Auditing  credit: 2 or 4 Hours. 
ACCY 505  Federal Taxation  credit: 2 or 4 Hours. 
ACCY 506  Advanced Topics in Accounting  credit: 4 Hours. 
ACCY 507  Taxation of Business Entities  credit: 2 or 4 Hours. 
ACCY 510  Financial Reporting Standards  credit: 4 Hours. 
ACCY 511  External Risk Measurement and Reporting  credit: 4 Hours. 
ACCY 512  Data Analytics for Management Accounting  credit: 4 Hours. 
ACCY 515  Auditing & Assurance Standards  credit: 4 Hours. 
ACCY 516  Professional Responsibility and Ethics for Accountants  credit: 3 or 4 Hours. 
ACCY 517  Financial Statement Analysis and Valuation  credit: 2 or 4 Hours. 
ACCY 518  Financial Statement Fraud  credit: 4 Hours. 
ACCY 519  Governmental and Nonprofit Accounting  credit: 4 Hours. 
ACCY 531  Financial Statement Analysis for MBAs  credit: 4 Hours. 
ACCY 532  Accounting for Mergers & Acquisitions and Other Complex Transactions  credit: 4 Hours. 
ACCY 550  Multistate Taxation  credit: 2 Hours. 
ACCY 551  Corporate Income Taxation  credit: 4 Hours. 
ACCY 552  Partnership Income Taxation  credit: 4 Hours. 
ACCY 553  Selected Topics in Fed Tax  credit: 2 to 4 Hours. 
ACCY 554  International Taxation  credit: 2 or 4 Hours. 
ACCY 555  Income Tax Accounting  credit: 2 Hours. 
ACCY 556  Tax Research  credit: 1 to 4 Hours. 
ACCY 557  Accounting Periods and Methods  credit: 2 Hours. 
ACCY 558  Taxation of Closely-Held Bus.  credit: 4 Hours. 
ACCY 559  Tax Policy  credit: 2 Hours. 
ACCY 561  Taxes and Business Strategy  credit: 4 Hours. 
ACCY 562  Tax Procedures  credit: 2 Hours. 
ACCY 563  Consolidated Returns  credit: 2 Hours. 
ACCY 564  Reorganizations  credit: 2 Hours. 
ACCY 569  Data Driven Decisions in Accounting  credit: 2 Hours. 
ACCY 570  Data Analytics Foundations for Accountancy  credit: 2 or 4 Hours. 
ACCY 571  Statistical Analyses for Accountancy  credit: 2 or 4 Hours. 
ACCY 574  Risk Management and Innovation  credit: 4 Hours. 
ACCY 575  Data Analytics Applications in Accountancy  credit: 4 Hours. 
ACCY 576  Data Preparation for Accounting  credit: 2 Hours. 
ACCY 577  Machine Learning for Accounting  credit: 2 Hours. 
ACCY 578  Accounting Analytics Applications  credit: 1 Hour. 
ACCY 585  Constructs in Atg Research  credit: 4 Hours. 
ACCY 590  Adv Prof Internship in ACCY  credit: 0 to 4 Hours. 
ACCY 592  Introduction to Accounting Research  credit: 4 Hours. 
ACCY 593  Special Research Problems  credit: 1 to 8 Hours. 
ACCY 594  Doctoral Research Seminar  credit: 4 Hours. 
ACCY 595  Models of Decision and Choice  credit: 4 Hours. 
ACCY 599  Thesis Research  credit: 0 to 16 Hours. 
ACE 100  Introduction to Applied Microeconomics  credit: 4 Hours. 
ACE 161  Microcomputer Applications  credit: 3 Hours. 
ACE 199  Undergraduate Open Seminar  credit: 1 to 5 Hours. 
ACE 203  Introduction to Public Policy and Law  credit: 3 Hours. 
ACE 210  Environmental Economics  credit: 3 Hours. 
ACE 220  Introduction to Sales: Principles and Strategies  credit: 3 Hours. 
ACE 221  Negotiation  credit: 2 Hours. 
ACE 222  Agricultural Marketing  credit: 3 Hours. 
ACE 231  Food and Agribusiness Mgt  credit: 3 Hours. 
ACE 232  Farm Management  credit: 3 Hours. 
ACE 240  Personal Financial Planning  credit: 3 Hours. 
"ACE 242  Women, Money, and Power  credit: 2 Hours. "
ACE 243  Money and Happiness  credit: 3 Hours. 
ACE 251  The World Food Economy  credit: 3 Hours. 
ACE 254  Economic Systems in Africa  credit: 3 Hours. 
ACE 255  Economics of Food and Environmental Justice  credit: 3 Hours. 
ACE 262  Applied Statistical Methods and Data Analytics I  credit: 3 Hours. 
ACE 264  Applied Statistical Methods & Data Analytics 2  credit: 3 Hours. 
ACE 270  Consumer Economics  credit: 3 Hours. 
ACE 291  Ag Policy & Leadership  credit: 3 Hours. 
"ACE 292  Farm, Food & Environmental Policy  credit: 3 Hours. "
ACE 293  Off-Campus Internship  credit: 1 to 4 Hours. 
ACE 294  On-Campus Internship  credit: 1 to 4 Hours. 
ACE 295  Independent Study  credit: 1 to 4 Hours. 
ACE 300  Intermediate Applied Microeconomics  credit: 3 Hours. 
ACE 306  Food Law  credit: 3 Hours. 
ACE 310  Natural Resource Economics  credit: 3 Hours. 
ACE 321  Principles of Public Policy  credit: 3 Hours. 
ACE 335  Food Marketing and Behavior  credit: 3 Hours. 
ACE 341  Issues&Careers in Applied Econ  credit: 1 or 2 Hours. 
ACE 344  FinTech in Personal Finance and Financial Planning  credit: 3 Hours. 
ACE 345  Finan Decision Indiv Sm Bus  credit: 3 Hours. 
ACE 346  Tax Policy and Finan Planning  credit: 3 Hours. 
ACE 349  Risk Management and Financial Planning Across the Life Cycle  credit: 3 Hours. 
ACE 360  Spreadsheet Models and Applications  credit: 2 Hours. 
ACE 396  Honors Research or Thesis  credit: 1 to 4 Hours. 
ACE 398  Experiential Learning  credit: 1 to 3 Hours. 
ACE 403  Agricultural Law  credit: 3 to 4 Hours. 
ACE 406  Environmental Law  credit: 3 or 4 Hours. 
ACE 410  Energy Economics  credit: 3 or 4 Hours. 
ACE 411  Environment and Development  credit: 3 or 4 Hours. 
ACE 417  Climate Change Economics and Policy  credit: 3 or 4 Hours. 
ACE 427  Commodity Price Analysis  credit: 3 Hours. 
ACE 428  Commodity Futures and Options  credit: 3 Hours. 
ACE 430  Food Marketing  credit: 3 Hours. 
ACE 431  Agri-food Strategic Management  credit: 3 Hours. 
ACE 432  Advanced Farm Management  credit: 3 or 4 Hours. 
ACE 435  Global Agribusiness Management  credit: 3 Hours. 
ACE 436  International Business Immersion  credit: 3 or 4 Hours. 
ACE 440  Finan Plan for Professionals  credit: 3 or 4 Hours. 
ACE 441  FINRA Professional Exam Review  credit: 3 Hours. 
ACE 444  Financial Services & Investing Planning  credit: 3 or 4 Hours. 
ACE 445  Intermediate Financial and Estate Planning  credit: 4 Hours. 
ACE 446  Modeling App's Finan Plan  credit: 2 Hours. 
ACE 449  Retirement & Benefit Planning  credit: 3 or 4 Hours. 
ACE 451  Agriculture in Intl Dev  credit: 3 or 4 Hours. 
ACE 452  The Latin American Economies  credit: 3 or 4 Hours. 
ACE 455  International Trade in Food and Agriculture  credit: 3 Hours. 
ACE 456  Agricultural and Food Policies  credit: 3 or 4 Hours. 
ACE 471  Consumer Economic Policy  credit: 3 Hours. 
ACE 474  Economics of Consumption  credit: 3 or 4 Hours. 
ACE 476  Behavioral Economics and Financial Decision Making  credit: 3 or 4 Hours. 
ACE 499  Contemporary Topics in ACE  credit: 1 to 4 Hours. 
ACE 500  Applied Economic Theory  credit: 4 Hours. 
ACE 501  Risk and Info: Theory and App  credit: 4 Hours. 
ACE 502  Demand/Supply/Firms/Households  credit: 4 Hours. 
ACE 503  Equilibrium and Welfare Econ  credit: 4 Hours. 
ACE 504  Foundational Microeconomic Theory  credit: 4 Hours. 
ACE 510  Adv Natural Resource Economics  credit: 4 Hours. 
ACE 516  Environmental Economics  credit: 4 Hours. 
ACE 520  Time Series Econometrics for Price Analysis  credit: 4 Hours. 
ACE 527  Advanced Price Analysis  credit: 4 Hours. 
ACE 528  Research in Futures Markets  credit: 4 Hours. 
ACE 530  Microeconometrics  credit: 4 Hours. 
ACE 531  Impact Evaluation  credit: 2 Hours. 
ACE 532  Network Econometrics & Supply Chain Analysis  credit: 4 Hours. 
ACE 542  Advanced Agricultural Finance  credit: 4 Hours. 
ACE 544  Global Agriculture and Supply Chains  credit: 4 Hours. 
ACE 545  Risk and Decision-Making in Agriculture  credit: 4 Hours. 
ACE 546  Agriculture as an Asset Class  credit: 2 Hours. 
ACE 547  Modern Issues in Food & Agriculture  credit: 2 Hours. 
"ACE 557  Food, Poverty and Development  credit: 2 Hours. "
"ACE 559  Food, Trade and Development  credit: 2 Hours. "
ACE 561  Adv Res and Scholarly Comm  credit: 4 Hours. 
ACE 562  Applied Regression Models I  credit: 2 Hours. 
ACE 563  Math Program App Econ I  credit: 2 Hours. 
ACE 564  Applied Regression Models II  credit: 2 Hours. 
ACE 569  Career Development for PhDs  credit: 1 Hour. 
ACE 571  Household Economics  credit: 2 Hours. 
ACE 580  Taxation and Regulation of Alternative Investments  credit: 4 Hours. 
ACE 581  Financial Lifecycles and Alternative Investments  credit: 4 Hours. 
ACE 582  Theory and Portfolio Dynamics of Alternative Investments  credit: 4 Hours. 
ACE 591  Independent Study  credit: 0 to 8 Hours. 
ACE 592  Special Topics  credit: 0 to 8 Hours. 
ACE 594  Seminars and Workshops  credit: 0 to 8 Hours. 
ACE 599  Thesis Research  credit: 0 to 16 Hours. 
ACES 101  Contemporary Issues in ACES  credit: 2 Hours. 
ACES 102  Intro Sustainable Food Systems  credit: 3 Hours. 
ACES 179  History of Ag in IL Since 1860  credit: 3 Hours. 
ACES 199  Undergraduate Open Seminar  credit: 1 to 5 Hours. 
ACES 200  ACES Transfer Orientation  credit: 0 Hours. 
ACES 293  International Internship  credit: 0 to 5 Hours. 
ACES 295  Undergrad Research or Thesis  credit: 1 to 4 Hours. 
ACES 298  International Experience  credit: 1 to 9 Hours. 
ACES 299  ACES Study Abroad  credit: 0 to 18 Hours. 
ACES 396  Honors Study Abroad Retrospect  credit: 1 or 2 Hours. 
ACES 399  Honors Seminar  credit: 1 Hour. 
ACES 499  Interdisciplinary ACES Seminar  credit: 0 to 4 Hours. 
ADV 150  Introduction to Advertising  credit: 3 Hours. 
ADV 175  Introduction to Multicultural Advertising  credit: 3 Hours. 
ADV 199  Undergraduate Seminar  credit: 1 to 5 Hours. 
ADV 200  Data Literacy  credit: 3 Hours. 
ADV 201  Social Media and Personal Branding  credit: 3 Hours. 
ADV 212  Advertising History  credit: 3 Hours. 
ADV 222  Copywriting  credit: 3 Hours. 
ADV 250  Advertising and Brand Strategy  credit: 3 Hours. 
ADV 270  Principles of Sales  credit: 3 Hours. 
ADV 280  Introduction to Advertising Media  credit: 3 Hours. 
ADV 281  Advertising Research Methods  credit: 3 Hours. 
ADV 284  Consumer Insight  credit: 3 Hours. 
ADV 290  Special Topics in Advertising  credit: 1 to 3 Hours. 
ADV 301  Becoming an Influencer  credit: 3 Hours. 
ADV 305  Advertising Technology and the Digital World  credit: 3 Hours. 
ADV 310  Intro to Public Relations  credit: 3 Hours. 
ADV 311  Classic Campaigns  credit: 3 Hours. 
ADV 314  Sports Public Relations  credit: 3 Hours. 
ADV 320  Sales Management  credit: 3 Hours. 
ADV 333  Agency Experience  credit: 3 Hours. 
ADV 350  Writing for Public Relations  credit: 3 Hours. 
ADV 360  Innovations in Advertising  credit: 3 Hours. 
ADV 370  Sales and the Consumer  credit: 3 Hours. 
ADV 390  Content Creation  credit: 3 Hours. 
ADV 392  Advertising Immersion  credit: 0 to 6 Hours. 
ADV 393  Advertising and Society  credit: 3 Hours. 
ADV 396  Research Experience in Advertising  credit: 1 to 3 Hours. 
ADV 399  Advertising Study Abroad  credit: 1 to 5 Hours. 
ADV 400  Special Problems  credit: 0 to 3 Hours. 
ADV 409  Media Entrepreneurship  credit: 3 Hours. 
ADV 410  Public Relations Strategies  credit: 3 Hours. 
ADV 452  Creative Concepts I  credit: 3 or 4 Hours. 
ADV 454  Creative Concepts II  credit: 3 Hours. 
ADV 461  Computational Advertising  credit: 3 Hours. 
ADV 462  Computational Advertising Infrastructure  credit: 3 or 4 Hours. 
ADV 475  Multicultural Advertising  credit: 3 Hours. 
ADV 476  Global Advertising  credit: 3 Hours. 
ADV 478  Psychology of Advertising  credit: 3 Hours. 
ADV 480  Social Media Analytics  credit: 3 Hours. 
ADV 482  Qualitative Research Methods in Advertising  credit: 3 Hours. 
ADV 483  Audience Analysis  credit: 3 Hours. 
ADV 484  Quantitative Research Methods  credit: 3 Hours. 
ADV 490  Advanced Special Topics in Advertising  credit: 1 to 3 Hours. 
ADV 491  Digital Content and Social Media Management  credit: 3 Hours. 
ADV 492  Tech and Advertising Campaigns  credit: 3 Hours. 
ADV 494  Persuasion Consumer Response  credit: 3 Hours. 
ADV 495  Internship Seminar  credit: 0 to 1 Hours. 
ADV 496  UG Research Project  credit: 1 to 3 Hours. 
ADV 497  Colloquium in Advertising  credit: 1 Hour. 
ADV 498  The Sandage Project  credit: 3 Hours. 
ADV 509  Media Entrepreneurship  credit: 3 Hours. 
ADV 550  Foundations of Advertising  credit: 3 Hours. 
ADV 580  Advertising Theory  credit: 3 Hours. 
ADV 581  Quanti Research Methods in Adv  credit: 3 Hours. 
ADV 582  Qualitative Rsrch in Advert  credit: 3 Hours. 
ADV 587  Graduate Seminar I  credit: 3 Hours. 
ADV 588  Graduate Seminar II  credit: 3 Hours. 
ADV 590  Special Topics in Advertising  credit: 1 to 4 Hours. 
ADV 594  Advanced Topics in Advertising  credit: 4 Hours. 
ADV 597  Proseminar in Advertising  credit: 1 Hour. 
ADV 598  Professional Project  credit: 0 or 6 Hours. 
ADV 599  Thesis Research  credit: 0 to 6 Hours. 
AE 100  Intro to Aerospace Engineering  credit: 2 Hours. 
AE 140  Aerospace Computer-Aided Design  credit: 2 Hours. 
AE 199  Undergraduate Open Seminar  credit: 0 to 5 Hours. 
AE 202  Aerospace Flight Mechanics  credit: 3 Hours. 
AE 298  Special Topics  credit: 1 to 4 Hours. 
AE 302  Aerospace Flight Mechanics II  credit: 3 Hours. 
AE 311  Incompressible Flow  credit: 3 Hours. 
AE 312  Compressible Flow  credit: 3 Hours. 
AE 321  Mechs of Aerospace Structures  credit: 3 Hours. 
AE 323  Applied Aerospace Structures  credit: 3 Hours. 
AE 352  Aerospace Dynamical Systems  credit: 3 Hours. 
AE 353  Aerospace Control Systems  credit: 3 Hours. 
AE 370  Aerospace Numerical Methods  credit: 3 Hours. 
AE 395  Honors Project  credit: 1 to 4 Hours. 
AE 396  Honors Seminar  credit: 1 to 4 Hours. 
AE 397  Independent Study  credit: 1 to 3 Hours. 
AE 398  Special Topics  credit: 1 to 4 Hours. 
AE 402  Orbital Mechanics  credit: 3 or 4 Hours. 
AE 403  Spacecraft Attitude Control  credit: 3 or 4 Hours. 
AE 410  Computational Aerodynamics  credit: 3 or 4 Hours. 
AE 412  Viscous Flow & Heat Transfer  credit: 4 Hours. 
AE 416  Applied Aerodynamics  credit: 3 or 4 Hours. 
AE 419  Aircraft Flight Mechanics  credit: 3 or 4 Hours. 
AE 420  Finite Element Analysis  credit: 3 or 4 Hours. 
AE 428  Mechanics of Composites  credit: 3 Hours. 
AE 433  Aerospace Propulsion  credit: 3 or 4 Hours. 
AE 434  Rocket Propulsion  credit: 3 or 4 Hours. 
AE 435  Electric Space Propulsion  credit: 3 or 4 Hours. 
AE 442  Aerospace Systems Design I  credit: 3 Hours. 
AE 443  Aerospace Systems Design II  credit: 3 Hours. 
AE 451  Aeroelasticity  credit: 3 or 4 Hours. 
AE 452  Introduction to Nonlinear Dynamics and Vibrations  credit: 4 Hours. 
AE 454  Systems Dynamics & Control  credit: 3 or 4 Hours. 
AE 456  Global Nav Satellite Systems  credit: 4 Hours. 
AE 460  Aerodynamics & Propulsion Lab  credit: 2 Hours. 
AE 461  Structures & Control Lab  credit: 2 Hours. 
AE 468  Optical Remote Sensing  credit: 3 Hours. 
AE 480  Hypersonic Aerothermodynamics  credit: 3 or 4 Hours. 
AE 482  Introduction to Robotics  credit: 4 Hours. 
AE 483  Autonomous Systems Lab  credit: 2 Hours. 
"AE 484  UAV Performance, Design, and Fabrication  credit: 3 Hours. "
AE 485  Spacecraft Environment and Interactions  credit: 3 or 4 Hours. 
AE 497  Independent Study  credit: 1 to 4 Hours. 
AE 498  Special Topics  credit: 1 to 4 Hours. 
AE 502  Advanced Orbital Mechanics  credit: 4 Hours. 
AE 504  Optimal Aerospace Systems  credit: 4 Hours. 
AE 508  Optimal Space Trajectories  credit: 4 Hours. 
AE 510  Advanced Gas Dynamics  credit: 4 Hours. 
AE 511  Transonic Aerodynamics  credit: 4 Hours. 
AE 512  Molecular Gas Dynamics  credit: 4 Hours. 
AE 514  Boundary Layer Theory  credit: 4 Hours. 
AE 515  Wing Theory  credit: 4 Hours. 
AE 521  Fracture and Fatigue  credit: 4 Hours. 
AE 522  Dynamic Response of Materials  credit: 4 Hours. 
AE 523  Nanoscale Contact Mechanics  credit: 4 Hours. 
AE 524  Nonlinear Solid Mech Design  credit: 4 Hours. 
AE 525  Advanced Composite Materials  credit: 4 Hours. 
AE 526  Composites Manufacturing  credit: 4 Hours. 
AE 527  Multi-Scale Modeling of Materials  credit: 4 Hours. 
AE 528  Nonlinear Continuous Media  credit: 4 Hours. 
AE 529  Viscoelasticity Theory  credit: 4 Hours. 
AE 538  Combustion Fundamentals  credit: 4 Hours. 
AE 542  Aerospace Syst Engineering I  credit: 4 Hours. 
AE 543  Aerospace Syst Engineering II  credit: 4 Hours. 
AE 550  Nonlinear Aeroelasticity  credit: 4 Hours. 
AE 551  Elastodynamics and Vibrations  credit: 4 Hours. 
AE 554  Dynamical Systems Theory  credit: 4 Hours. 
AE 555  Multivariable Control Design  credit: 4 Hours. 
AE 556  Robust Control  credit: 4 Hours. 
AE 560  Fracture Mechanics Laboratory  credit: 4 Hours. 
AE 564  Advanced Aero Propulsion Lab  credit: 4 Hours. 
AE 590  Seminar  credit: 0 Hours. 
AE 597  Independent Study  credit: 1 to 4 Hours. 
AE 598  Special Topics  credit: 1 to 4 Hours. 
AE 599  Thesis Research  credit: 0 to 16 Hours. 
AFAS 102  Leadership Laboratory  credit: 0 Hours. 
AFAS 111  Heritage and Values of the United States Air Force I  credit: 1 Hour. 
AFAS 112  Heritage and Values of the United States Air Force II  credit: 1 Hour. 
AFAS 120  Intro to US Armed Forces  credit: 3 Hours. 
AFAS 221  Team and Leadership Fundamentals I  credit: 1 Hour. 
AFAS 222  Team and Leadership Fundamentals II  credit: 1 Hour. 
AFAS 331  Leading People and Effective Communication I  credit: 3 Hours. 
AFAS 332  Leading People and Effective Communication II  credit: 3 Hours. 
AFAS 341  Nat Sec Afrs/Prep Actv Duty I  credit: 3 Hours. 
AFAS 342  Nat Sec Afrs/Prep Actv Duty II  credit: 3 Hours. 
AFRO 100  Intro to African American St  credit: 3 Hours. 
"AFRO 101  Black America, 1619-Present  credit: 3 Hours. "
AFRO 103  Black Women in the Diaspora  credit: 3 Hours. 
AFRO 105  Black Literature in America  credit: 3 Hours. 
AFRO 106  Hist Arch Americas  credit: 3 Hours. 
AFRO 122  Russia and Black America  credit: 3 Hours. 
AFRO 132  African American Music  credit: 3 Hours. 
"AFRO 134  Religion, Race, and Resistance  credit: 3 Hours. "
AFRO 199  Undergraduate Open Seminar  credit: 1 to 5 Hours. 
AFRO 201  US Racial & Ethnic Politics  credit: 3 Hours. 
AFRO 211  Intro to African-American Film  credit: 3 Hours. 
AFRO 212  Introduction to African American Theatre  credit: 3 Hours. 
AFRO 215  US Citizenship Comparatively  credit: 3 Hours. 
AFRO 220  Intro to Research Methods AfAm  credit: 3 Hours. 
AFRO 221  History of the Prison  credit: 3 Hours. 
AFRO 224  Humanist Persp of Afro-Am Exp  credit: 3 Hours. 
AFRO 226  Black Women Contemp US Society  credit: 3 Hours. 
AFRO 227  Studies in Black Television  credit: 3 Hours. 
AFRO 228  Hip Hop Music: History and Culture  credit: 3 Hours. 
AFRO 231  Lang Diff Dis: American Persp  credit: 3 Hours. 
AFRO 234  Black Religious Imaginations  credit: 3 Hours. 
AFRO 243  Pan Africanism  credit: 3 Hours. 
AFRO 250  Introduction to Health and Wellness in the Black Community  credit: 3 Hours. 
AFRO 259  Early African American Literature and Culture  credit: 3 Hours. 
AFRO 260  Modern African American Literature and Culture  credit: 3 Hours. 
AFRO 261  Intro to the African Diaspora  credit: 3 Hours. 
AFRO 275  Afro-American History to 1877  credit: 3 Hours. 
AFRO 276  Afro-American Hist Since 1877  credit: 3 Hours. 
